わたし,Me / I
あなた,You
ともだち,Friend
ひと,Person
そのひと,That person / He / She
～たち,Pluraliser
～さん,Polite name suffix
おとこ,Male
おんな,Female
ひと,Person
こ,Child
おんなのひと,Woman
おとこのこ,Boy
おとこのひと,Man
おんなのこ,Girl
ドイツ,Germany
スペイン,Spain
イタリア,Italy
フランス,France
えいこく,England
イギリス,England
ちゅうごく,China
かんこく,S Korea
たいわん,Taiwan
オーストラリア,Australia
スコットランド,Scotland
～ご,Language of -
～じん,Person of -
