わたし,Me / I
あなた,You
ともだち,Friend
ひと,Person
そのひと,That person / He / She
～たち,Pluraliser
～さん,Polite name suffix
おとこ,Male
おんな,Female
ひと,Person
こ,Child
おんなのひと,Woman
おとこのこ,Boy
おとこのひと,Man
おんなのこ,Girl
