ドイツ,Germany
スペイン,Spain
イタリア,Italy
フランス,France
えいこく,England
イギリス,England (alt)
ちゅうごく,China
かんこく,S Korea
たいわん,Taiwan
オーストラリア,Australia
スコットランド,Scotland
～ご,Language of -
～じん,Person of -
えいご,English
フランスご,French
にほん,Japan
